genre,avg_roi
Horror,8.907538473510908
Animation,7.0047125315785586
Fantasy,6.81209370229513
Family,6.362248396918337
Romance,6.155337951543304
Thriller,5.8820225490044695
Mystery,5.719712849387372
Comedy,4.879063552248203
Adventure,4.634178462342116
Drama,4.300102750333858
Action,4.0094198046533265
Music,3.9680697440209514
Crime,3.699493323189801
History,3.567052182829081
Science Fiction,3.411121484299297
War,2.970404170375721
Western,1.0979462313636363
Documentary,0.0
