genre,avg_revenue
Adventure,583652623.9789474
Science Fiction,508543617.2314815
Fantasy,504541948.6434783
Animation,494847665.5730337
Family,470615276.2019231
Action,455636253.5076142
Comedy,344793772.0
Romance,252259912.6031746
Crime,223825437.87692308
Drama,209148809.73758864
History,196050492.125
Mystery,194082532.31034482
Thriller,189661253.8125
War,150804918.3888889
Music,117992956.55555555
Horror,117401085.59183674
Western,107550257.75
Documentary,0.0
