,budget,revenue,roi,popularity,vote_average,vote_count,movie_age
budget,1.0,0.6375214936897595,-0.12398742461117138,0.06944961750598605,0.045470752179089365,0.3626933618813845,-0.09454674152784788
revenue,0.6375214936897595,1.0,0.14663756218238783,0.0045024258080717215,0.261453871060653,0.606880713089811,0.06262976502845513
roi,-0.12398742461117138,0.14663756218238783,1.0,0.06177275813008276,0.19336868707365856,0.13167014605037677,0.05077446805777453
popularity,0.06944961750598605,0.0045024258080717215,0.06177275813008276,1.0,0.012431560533171652,-0.14871808748948195,-0.25019017420980777
vote_average,0.045470752179089365,0.261453871060653,0.19336868707365856,0.012431560533171652,1.0,0.4457026750191133,0.15145433772362749
vote_count,0.3626933618813845,0.606880713089811,0.13167014605037677,-0.14871808748948195,0.4457026750191133,1.0,0.41826008023853606
movie_age,-0.09454674152784788,0.06262976502845513,0.05077446805777453,-0.25019017420980777,0.15145433772362749,0.41826008023853606,1.0
