release_season,avg_revenue,avg_rating,avg_popularity,n
Spring,502723539.6036036,7.052099099099099,15.300712612612614,111
Summer,357192539.0851064,7.059177304964539,18.848385106382977,141
Winter,332351789.5869565,6.883130434782609,22.67348586956522,92
Fall,258370920.32258064,7.085896774193549,37.13956838709677,155
