,movie_age,vote_average,popularity,vote_count
movie_age,1.0,0.15145433772362746,-0.25019017420980777,0.41826008023853617
vote_average,0.15145433772362746,1.0,0.012431560533171642,0.4457026750191133
popularity,-0.25019017420980777,0.012431560533171642,1.0,-0.14871808748948195
vote_count,0.41826008023853617,0.4457026750191133,-0.14871808748948195,1.0
