feature,coefficient,abs_coefficient
vote_average,1.6645941921593708,1.6645941921593708
release_month,-0.07218010238951263,0.07218010238951263
movie_age,0.050656328766631294,0.050656328766631294
director_encoded,0.003447658357492122,0.003447658357492122
popularity,-0.0014791094066740219,0.0014791094066740219
vote_count,6.554535943666447e-05,6.554535943666447e-05
budget,1.8937593005120658e-08,1.8937593005120658e-08
